model,task,appeal,dose,render,contrast,diff,ci_low,ci_high,p,primary,p_holm
llama31_8b_128k,xstest_unsafe,plain,f025,pasted,positive - negative,-0.041666666666666664,-0.10416666666666667,0.0,0.5030496950304969,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f025,pasted,neutral - none,0.0,-0.0625,0.0625,1.0,False,
llama31_8b_128k,xstest_unsafe,plain,f025,turns,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f025,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f025,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f025,turns,neutral - none,-0.020833333333333332,-0.0625,0.0,1.0,False,
llama31_8b_128k,xstest_unsafe,plain,f050,pasted,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f050,pasted,negative - neutral,0.020833333333333332,0.0,0.0625,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f050,pasted,positive - negative,-0.020833333333333332,-0.0625,0.0,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f050,pasted,neutral - none,-0.020833333333333332,-0.0625,0.0,1.0,False,
llama31_8b_128k,xstest_unsafe,plain,f050,turns,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f050,turns,negative - neutral,-0.020833333333333332,-0.0625,0.0,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f050,turns,positive - negative,0.020833333333333332,0.0,0.0625,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f050,turns,neutral - none,-0.020833333333333332,-0.0625,0.0,1.0,False,
llama31_8b_128k,xstest_unsafe,plain,f100,pasted,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f100,pasted,negative - neutral,0.0,-0.0625,0.0625,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f100,pasted,positive - negative,0.0,-0.0625,0.0625,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f100,pasted,neutral - none,-0.020833333333333332,-0.0625,0.0,1.0,False,
llama31_8b_128k,xstest_unsafe,plain,f100,turns,positive - neutral,0.020833333333333332,0.0,0.0625,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f100,turns,negative - neutral,0.041666666666666664,0.0,0.10416666666666667,0.4938506149385061,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f100,turns,positive - negative,-0.020833333333333332,-0.0625,0.0,1.0,True,1.0
llama31_8b_128k,xstest_unsafe,plain,f100,turns,neutral - none,-0.041666666666666664,-0.10416666666666667,0.0,0.5007499250074993,False,
